Aqui vai uma alteracao no conteúdo aqui vai outr
"concat('redirect 301')"	"concat('/portal/asn--portugu/',cast(b.id as char),'',b.alias)"	"concat('http://noticias.adventistas.org/pt/?p=',cast(a.id as char))"
"redirect 301"	/portal/asn--portugu/29sedes-regionais	http://noticias.adventistas.org/pt/?p=20598
"redirect 301"	/portal/asn--portugu/4675encontro-so-para-meninas-orienta-adolescentes-em-tocantins	http://noticias.adventistas.org/pt/?p=14186
"redirect 301"	/portal/asn--portugu/3964hospital-adventista-realiza-cirurgia-inedita-no-mato-grosso-do-sul	http://noticias.adventistas.org/pt/?p=13397
"redirect 301"	/portal/asn--portugu/3963mutirao-de-natal-e-destaque-de-novo-na-midia-brasileira	http://noticias.adventistas.org/pt/?p=13396
"redirect 301"	/portal/asn--portugu/3967criancas-recolhem-12-mil-quilos-de-solidariedade	http://noticias.adventistas.org/pt/?p=13398
"redirect 301"	/portal/asn--portugu/75encontro-para-universitarios-e-educadores-em-belem-e-amapa	http://noticias.adventistas.org/pt/?p=9893
"redirect 301"	/portal/asn--portugu/74igreja-realiza-mutirao-de-natal-no-supermercado-extra	http://noticias.adventistas.org/pt/?p=9892
"redirect 301"	/portal/asn--portugu/69ultimo-dia-de-reunioes-inicia-com-mensagem-sobre-a-volta-de-jesus	http://noticias.adventistas.org/pt/?p=9882
"redirect 301"	/portal/asn--portugu/71vietna-concede-reconhecimento-oficial-a-igreja-adventista	http://noticias.adventistas.org/pt/?p=9884
"redirect 301"	/portal/asn--portugu/70ultimo-dia-de-reunioes-inicia-com-mensagem-sobre-a-volta-de-jesus	http://noticias.adventistas.org/pt/?p=9882
"redirect 301"	/portal/asn--portugu/73adra-prepara-projeto-de-tres-anos-de-educacao-de-sobrevivencia-no-malaui	http://noticias.adventistas.org/pt/?p=9887
"redirect 301"	/portal/asn--portugu/76aba-promove-encontro-de-adolescentes-em-macapa	http://noticias.adventistas.org/pt/?p=9894
"redirect 301"	/portal/asn--portugu/77associacao-paulista-oeste-comemora-20-anos-com-construcao-de-nova-sede	http://noticias.adventistas.org/pt/?p=9896
"redirect 301"	/portal/asn--portugu/78norte-do-parana-1o-encontro-de-mulheres-motiva-comprometimento-com-a-missao	http://noticias.adventistas.org/pt/?p=9897
"redirect 301"	/portal/asn--portugu/79grande-casa-aberta-movimenta-igreja-na-regiao-norte	http://noticias.adventistas.org/pt/?p=9898
"redirect 301"	/portal/asn--portugu/80natal-luz-2008-no-hospital-adventista-do-penfigo	http://noticias.adventistas.org/pt/?p=9899
"redirect 301"	/portal/asn--portugu/81encontro-de-quartetos-reune-900-pessoas-em-minas-gerais	http://noticias.adventistas.org/pt/?p=9900
"redirect 301"	/portal/asn--portugu/82sucesso-junto-ao-mestre-inspira-profissionais-de-educacao-no-norte-do-brasil	http://noticias.adventistas.org/pt/?p=9901
"redirect 301"	/portal/asn--portugu/83delegados-da-vi-assembleia-quadrienal-elegem-lideranca-da-anp	http://noticias.adventistas.org/pt/?p=9902
"redirect 301"	/portal/asn--portugu/106brasilia-teatro-nacional-recebe-coral-jovem-da-igreja-central	http://noticias.adventistas.org/pt/?p=9942
"redirect 301"	/portal/asn--portugu/84lancamento-da-enciclopedia-da-memoria-adventista-digital	http://noticias.adventistas.org/pt/?p=9903
